Rain,Temp,WindDirection,WindSpeed
0,39,33,4.33
0,39,32,3.86
0.16,46,35,9.73
0,45,32,6.86
0.01,34,19,7.8
0.09,38,9,8.7
0.05,30,9,16.46
0.15,22,2,3.1
0.6,34,20,9.1
2.15,38,9,9.76
0,31,14,17.9
0,14,2,2.2
0.02,27,14,8.23
1.22,39,9,11.26
0,40,9,19.76
0.7,36,10,9.23
0.14,34,6,11.2
0.17,37,15,6.16
0.05,39,10,18.83
1.3,40,11,21.8
0.1,27,11,11.76
0.01,30,15,3.7
0.08,29,6,12.86
0,0,20,0.36
0.4,37,8,10.5
0,60,18,1.83
0,60,0,0
0,60,0,0
0.37,43,19,11.26
0.55,38,14,5.2
0.15,32,22,9.03
0.04,32,2,4.93
0,21,8,3.83
0.05,6,6,13.76
2.42,36,11,5.93
0,41,6,4.2
0,40,4,4.2
0,58,13,5.8
0,56,12,12.93
0,29,27,2.7
0,39,27,5.16
0,38,29,7.4
0,42,0,0
0,47,34,2.2
0,27,32,3.06
0,35,21,1.56
0,44,6,4.06
0.06,44,0,0
0,46,25,0.86
0,47,6,6.56
0,54,24,2.13
0,55,15,2.76
0,44,33,7.73
0,45,34,6.16
0,44,34,3.63
0,49,8,6.46
0,55,24,1.83
0.04,46,10,4.43
0,39,8,18.8
0,51,12,4.9
0,51,21,3.86
0,42,26,1.86
0,14,32,1.4
0,28,15,3.13
0,-10,12,0.4
0,27,20,7.2
0,14,8,4.46
0,26,27,1.93
0,38,27,8.86
0,34,24,6.2
0,37,28,6.43
0,37,28,6.43
0.75,63,32,6.23
0.49,76,28,5.16
0.62,56,33,4.6
0.49,56,31,4.83
0.5,79,17,4.53
1.13,76,17,3.33
0.14,65,31,6.93
0.12,48,35,9.33
0.46,53,34,6.16
0.18,66,8,5.73
0.97,69,28,6.9
0.24,74,27,6.83
0.66,51,32,5.06
0,45,29,5.1
0,42,31,10.93
0,48,31,3.06
0.01,47,31,5.46
0.41,56,31,5
0.11,73,20,3.33
0,73,24,5.13
0.04,71,3,8.4
0.04,72,14,8.86
0,70,23,6.06
0,15,16,3
0,21,9,2.56
0,8,2,2.66
0,25,28,12.16
0,25,28,10.9
0,29,28,8.2
0,29,28,10.53
0,24,28,9.73
0,31,27,9.96
0,35,27,6.06
0,29,26,13.2
0,29,26,10.73
0.03,27,26,11.83
0,22,28,11.46
0,24,30,10
0,21,28,11.86
0,21,30,8.63
0,22,28,11.06
0,31,29,8.96
0,31,31,8.36
0,30,28,8.1
0,34,32,4.9
0,32,29,5.96
0,33,29,5.96
0,33,26,7.73
0,37,24,2.93
0,35,25,7.93
0,38,27,6.7
0,36,27,5.6
0.09,47,23,3.43
0.08,47,12,8.33
0.59,50,13,11.93
0,46,21,5.36
0.22,47,23,6.66
0,29,24,4.6
0.1,23,25,5.66
0.01,34,24,7.53
0,37,27,5.36
0,38,27,3.46
0,37,25,11.83
0,60,25,11.6
0,31,25,11.56
0.01,27,26,8.96
0,32,24,12.96
0.05,31,27,11.13
0.04,30,27,13.3
0.08,26,27,11.16
0.04,29,26,12.5
0.21,23,0,0
0,31,28,13.23
0.04,24,28,9.56
0,22,30,11.56
0,21,29,7.76
0,23,28,9.36
0,19,29,13.73
0,20,29,9.03
0,42,30,4.56
0,40,23,2.36
0.38,47,35,9.76
0.02,46,34,5.76
0,44,33,5.43
0.01,43,34,5.56
0,40,23,4.13
0,37,29,5.96
0,33,28,9.26
0,29,28,8.13
0,33,27,8.63
0,35,28,7.5
0,26,28,5.5
0,36,28,9.03
0,23,22,18.86
0,0,15,1.8
0,8,21,4.83
0,7,19,6.4
0,8,23,6.16
0,17,22,11
0,10,18,9
0,3,23,0.53
0.01,6,31,1.6
0,19,21,6.26
0,7,12,2.33
0,26,30,9.03
0,26,18,5.7
0,22,29,9.43
0,26,30,6.7
0,22,31,6.83
0,18,21,6.36
0,21,28,10.86
0,20,26,7.8
0,7,26,3.46
0,12,12,3.4
0,44,24,1.03
0,39,9,7.96
0,22,18,2.96
0,12,8,6.6
0,34,24,6.16
0,60,27,52.6
0,36,28,6.26
0,37,25,10.1
0,31,27,4.63
0,31,27,5.06
0.02,27,17,1.8
0.01,33,25,6.23
0.01,25,26,8.86
0.13,29,26,13.73
0.01,33,21,7.3
0,37,27,8.63
0,40,27,11.7
0.05,28,26,11.23
0.19,29,24,11.5
0,39,34,10.16
0.16,50,21,4.43
0,43,18,2.3
0,41,30,4.2
0,43,31,2.36
0,43,27,1.86
0.63,48,32,5.03
0,21,25,7.9
0,20,25,10.76
0,20,27,7.8
0,19,28,9.46
0,21,24,8.1
0.05,29,26,11.4
0.02,29,25,12.43
0,31,26,8.53
0,30,26,11.93
0,27,24,11.46
0,29,26,12.7
0.03,28,25,11.23
0,33,28,5.46
0,35,30,7.16
0,33,28,3.96
0,36,29,5.1
0.21,36,9,9.46
0.06,7,11,3.5
0.06,30,1,7.86
0.01,34,9,3.4
0.01,19,12,4
0.31,32,9,19.93
0,15,32,2.8
0.29,32,34,7.13
0,34,27,8.3
0.31,29,24,13.96
0,36,30,8.8
0,39,27,8.3
0.01,31,25,9.53
0,32,25,9.13
0.01,31,26,7.83
0.05,77,10,5.9
0,36,26,7.36
0,45,30,1.13
0.55,53,22,3.86
0,49,21,2.3
0,45,19,2.53
0,18,26,6.16
0,18,29,8.4
0,22,27,10.5
0,24,26,3.26
0,18,30,7.2
0,34,23,3.93
0,40,35,3.6
0,37,28,5.66
0,34,29,4.23
0,36,26,2.5
0,40,30,3.53
0,39,29,3.73
0,37,18,0.5
0,41,20,5.76
0,34,29,4.73
0.22,46,22,8
0.2,47,22,4.1
0.02,48,11,9.56
1.54,47,32,13.2
0,38,30,4.63
0.01,48,33,7.73
1.81,47,35,13.03
0,35,29,4.23
0,44,33,4.9
0,46,32,6.73
0.57,47,22,3.16
0,37,4,5
0,44,31,5.93
0.23,49,12,13.9
0.09,50,11,9.56
0,34,21,5.1
0.04,37,21,6.4
0,42,19,4.93
1.04,47,22,6.2
1.29,47,22,8.46
0,45,33,6.26
0,40,31,8.06
0,15,32,1.6
0,41,28,9.33
0.03,31,23,6.5
0,39,25,3.6
0,45,16,4.7
0,41,27,3.6
0,41,28,9.33
0,41,28,4.26
0,41,29,4.83
0.07,10,24,6.2
0.07,12,34,7.2
0.02,26,11,0.5
0,34,6,2.53
0.02,35,6,4.96
0.09,12,2,5.2
0.26,16,30,3.2
0,33,27,7.6
0,37,24,7.23
0,32,24,5.26
0,36,24,6.23
0,23,27,9.4
0,25,27,8.16
0,24,28,5.6
0,26,28,10.96
0,21,22,16.13
0,23,27,8.33
0,11,27,0.43
0,3,16,1.9
0,22,21,0.8
0.52,44,12,6.55
0.43,43,13,8.34
0.13,49,14,6.58
0.11,47,15,7.55
0,28,12,4.02
0.48,36,24,5.42
0.03,28,7,18
0,6,29,3.98
2.35,32,22,14.3
0.81,35,12,5.88
0,13,11,18.5
0,2,7,1.58
0,0,33,1.35
1.75,37,7,9.45
0,37,11,14.15
0.33,27,13,1.81
0.03,30,3,13.51
1.33,34,23,5.17
0.04,35,8,14.55
2.66,37,11,16.28
0.03,23,10,18.08
0,14,21,1.72
0.09,29,7,16.57
0,-13,18,0.32
0,27,21,8.87
0,60,20,2.34
0,60,0,0
0,60,32,14
0.13,39,16,6.31
0.12,33,9,18.64
0.77,32,23,18.52
0,24,6,5.15
0,9,9,4.65
0.05,8,10,12.25
1.26,33,7,2.42
1.16,41,25,4.5
0.61,42,18,5.17
1.13,52,14,3.64
1.53,48,17,4.98
0.12,35,19,3.81
0.37,38,17,7.5
0.79,34,19,7.78
1.63,40,0,0
0.69,51,13,1.75
0.16,36,24,5.4
0,43,19,3.8
1.83,49,18,2.94
2.49,49,0,0
1.28,47,17,3.42
1.15,51,11,5.81
1.96,55,23,1.58
2.73,55,23,3.04
3.59,46,26,5.14
4.71,45,18,2.5
2.27,48,19,4.04
1.09,51,12,8.04
2.98,57,19,3.62
2.17,51,10,4.45
1.89,39,19,9.58
4.15,54,17,2.22
1.59,53,23,3.6
1.43,47,14,5.4
0.55,14,23,0.92
0.18,29,19,2.92
0.34,15,18,0.8
0.38,27,18,4.31
0.31,26,13,1.48
0.41,28,12,2.14
1.23,33,21,7.78
1.46,29,21,5.05
0.68,35,22,6.18
0.68,35,22,6.18
0.05,63,15,8.45
0.94,70,20,6.9
0.16,56,12,7.41
0.21,53,15,8.52
0.46,72,16,8.34
